YEAR,STATE,COUNTY_NAME,RATE_PER_100,,,,,
2023,CA,Alameda County,15.1,,,,,
2023,CA,Sierra County,14.9,,,,,
2023,CA,Madera County,14.1,,,Natioanl Avg: 37.5 Orx / 100 Pop,,
2023,CA,San Benito County,10.7,,,Colorado Avg: 32.4,,
2023,CA,Mariposa County,8.3,,,,,
2023,CA,Alpine County,1.8,,,SWCORC,,
2023,CO,Pueblo County,63.6,,,Delta,40.2,10th 
2023,CO,Rio Grande County,59.6,,,Montrose,28.1,
2023,CO,Cheyenne County,59.4,,,San Miguel,22.9,
2023,CO,Sedgwick County,50,,,Gunnison,20.6,
2023,CO,La Plata County,49.3,,,Ouray,14.5,
2023,CO,Mesa County,46.8,,,Hinsdale,8.6,
2023,CO,Eagle County,44.3,,,,,
2023,CO,Las Animas County,41.5,,,,,
2023,CO,El Paso County,41.3,,,,,
2023,CO,Delta County,40.2,,,,,
2023,CO,Yuma County,40,,,,,
2023,CO,Arapahoe County,38.1,,,,,
2023,CO,Broomfield County,37.1,,,,,
2023,CO,Alamosa County,35.3,,,,,
2023,CO,Baca County,34.2,,,,,
2023,CO,Otero County,33.9,,,,,
2023,CO,Chaffee County,33,,,,,
2023,CO,Denver County,33,,,,,
2023,CO,Fremont County,32.6,,,,,
2023,CO,Boulder County,32.2,,,,,
2023,CO,Jefferson County,31,,,,,
2023,CO,Dolores County,30.2,,,,,
2023,CO,Kiowa County,30.1,,,,,
2023,CO,Larimer County,29.9,,,,,
2023,CO,Montrose County,28.1,,,,,
2023,CO,Logan County,26.9,,,,,
2023,CO,Adams County,26.5,,,,,
2023,CO,Montezuma County,26.3,,,,,
2023,CO,Archuleta County,25.9,,,,,
2023,CO,Routt County,25.8,,,,,
2023,CO,Garfield County,24.6,,,,,
2023,CO,Summit County,24.3,,,,,
2023,CO,Prowers County,23.1,,,,,
2023,CO,Douglas County,22.9,,,,,
2023,CO,San Miguel County,22.9,,,,,
2023,CO,Moffat County,22.5,,,,,
2023,CO,Lincoln County,22.3,,,,,
2023,CO,Pitkin County,22.1,,,,,
2023,CO,Phillips County,21.7,,,,,
2023,CO,Gunnison County,20.6,,,,,
2023,CO,Conejos County,20.3,,,,,
2023,CO,Rio Blanco County,19.9,,,,,
2023,CO,Morgan County,19,,,,,
2023,CO,Weld County,16.4,,,,,
2023,CO,Kit Carson County,16,,,,,
2023,CO,Teller County,15.1,,,,,
2023,CO,Grand County,14.9,,,,,
2023,CO,Ouray County,14.5,,,,,
2023,CO,Huerfano County,13.5,,,,,
2023,CO,Lake County,9.6,,,,,
2023,CO,Hinsdale County,8.6,,,,,
2023,CO,Clear Creek County,8,,,,,
2023,CO,Elbert County,8,,,,,
2023,CO,Jackson County,7.5,,,,,
2023,CO,Bent County,6.4,,,,,
2023,CO,Costilla County,4.8,,,,,
2023,CO,Custer County,4.3,,,,,
2023,CO,Crowley County,3.4,,,,,
2023,CO,Park County,1.5,,,,,
2023,CO,Mineral County,0.2,,,,,
2023,CO,Washington County,0.2,,,,,
2023,CO,Gilpin County,0,,,,,
2023,CO,Saguache County,Data unavailable,,,,,
2023,CO,San Juan County,Data unavailable,,,,,
2023,CT,New Haven County,43.7,,,,,
2023,CT,Hartford County,36.1,,,,,
2023,CT,New London County,31,,,,,
2023,CT,Fairfield County,27.4,,,,,
